"Year","State","Type","Production","Avg","Measures","Materials","Chemical","Value"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLOROPICRIN = 81501)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DICHLOROPROPENE = 29001)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUTRIAFOL = 128940)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IRON PHOSPHATE = 34903)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(METALDEHYDE = 53001)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MINERAL OIL = 63502)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PAECILOMYCES FUMOSOR = 115002)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)","1"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(SULFUR)","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(AZOXYSTROBIN = 128810)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BOSCALID = 128008)","FUNGICIDE","0.418"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(CAPTAN = 81301)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(COPPER OCTANOATE = 23306)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(COPPER OXIDE = 25601)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(CYPRODINIL = 288202)","FUNGICIDE","0.44"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(FENHEXAMID = 90209)","FUNGICIDE","(D)"
